compound,class,length,double_bonds
Cer(d16:2(4E_6E)/24:0),Cer,NA,NA
Cer(d14:1/20:1),Cer,NA,NA
CerP(d18:1/16:0),CerP,NA,NA
Cer(d16:1/17:0),Cer,NA,NA
Cer(d14:1/18:0),Cer,NA,NA
Cer(d14:1/22:0),Cer,NA,NA
Cer(d18:2/23:0),Cer,NA,NA
Cer(d18:1/C14:0),Cer,NA,NA
Cer(d18:1/16:0),Cer,NA,NA
Cer(d18:1/16:1),Cer,NA,NA
Cer(d18:1/18:0),Cer,NA,NA
Cer(d18:1/18:1),Cer,NA,NA
Cer(d18:1/18:2),Cer,NA,NA
Cer(d18:1/18:3),Cer,NA,NA
Cer(d18:1/20:0),Cer,NA,NA
Cer(d18:1/20:3),Cer,NA,NA
Cer(d18:1/20:4),Cer,NA,NA
Cer(d18:1/20:5),Cer,NA,NA
Cer(d18:1/22:0),Cer,NA,NA
Cer(d18:1/22:5),Cer,NA,NA
Cer(d18:1/22:6),Cer,NA,NA
SM(d18:1/14:0),SM,NA,NA
SM(d18:1/16:0),SM,NA,NA
SM(d18:1/16:1),SM,NA,NA
SM(d18:1/18:0),SM,NA,NA
SM(d18:1/18:1),SM,NA,NA
SM(d18:1/18:2),SM,NA,NA
SM(d18:1/18:3),SM,NA,NA
SM(d18:1/20:0),SM,NA,NA
SM(d18:1/20:3),SM,NA,NA
SM(d18:1/20:4),SM,NA,NA
SM(d18:1/20:5),SM,NA,NA
SM(d18:1/22:0),SM,NA,NA
SM(d18:1/22:5),SM,NA,NA
SM(d18:1/22:6),SM,NA,NA
SM(d18:1/24:0),SM,NA,NA
SM(d18:1/24:1),SM,NA,NA
Sphingosin-Phosphate,NA,NA,NA
Sphinganine,NA,NA,NA
1-deoxysphinganine,NA,NA,NA
1-deoxymethylsphinganine,NA,NA,NA
